indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,14.9790315628052,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,14.7299337387085,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,17.1473388671875,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,19.5447807312012,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,7.81623363494873,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,9.61252117156982,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,11.7248420715332,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,13.8868274688721,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,14.7366437911987,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,17.2200183868408,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,18.3536243438721,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,21.8958721160889,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,23.951452255249,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,25.8365726470947,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,25.1449661254883,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,26.3759632110596,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,25.1933898925781,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,27.2499389648438,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,26.1547164916992,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,28.288688659668,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,28.0864410400391,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,26.8079071044922,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,25.8181304931641,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,23.1035995483398,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,22.451904296875,,,0.0,MX,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,42.5240859985352,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,39.4587669372559,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,34.8239212036133,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,31.5789108276367,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,29.920036315918,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,27.9716949462891,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,26.0715179443359,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,23.8944625854492,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,22.5092544555664,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,21.947135925293,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,22.4417572021484,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Mid10to50', 'value': 'Middle Class ($10-50 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,22.1476974487305,,,0.0,BR,1.0.HCount.Mid10to50
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,53.2,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,51.6,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,52.0,,,0.0,MX,1.0.HCount.Ofcl
